Date,VIX,syn_vix
2005-01-04,13.98,12.603844124740895
2005-01-05,14.09,12.732252787669479
2005-01-06,13.58,12.272948877837822
2005-01-07,13.49,11.907018635290866
2005-01-10,13.23,12.01015986070704
2005-01-11,13.19,12.224263695846092
2005-01-12,12.56,11.428746065113597
2005-01-13,12.84,11.61624061338137
2005-01-14,12.43,10.9073124864924
2005-01-18,12.47,13.574734713814385
2005-01-19,13.18,13.956035936192293
2005-01-20,13.83,13.172571795358234
2005-01-21,14.36,12.705178265498962
2005-01-24,14.65,12.979274479181912
2005-01-25,14.06,12.371315085390595
2005-01-26,13.44,11.676306955605984
2005-01-27,13.24,11.380034710902615
2005-01-28,13.24,11.635271811085161
2005-01-31,12.82,11.12461742955513
2005-02-01,12.03,10.6423143463383
2005-02-02,11.66,10.53061023794667
2005-02-03,11.79,10.645847533105174
2005-02-04,11.21,9.947029644873643
2005-02-07,11.73,10.80521725518002
2005-02-08,11.6,10.762879583058762
2005-02-09,12.0,11.316456163522561
2005-02-10,11.51,10.818629635411833
2005-02-11,11.43,10.756502791415425
2005-02-14,11.52,12.008208153407782
2005-02-15,11.27,12.263325622335229
2005-02-16,11.1,10.855589011964128
2005-02-17,11.77,9.610923308475549
2005-02-18,11.18,9.786728139280568
2005-02-22,13.14,11.640539047990213
2005-02-23,12.39,10.799524419805845
2005-02-24,11.57,10.163175408408279
2005-02-25,11.49,10.252770864977316
2005-02-28,12.08,11.38004588740673
2005-03-01,12.04,11.025104066984033
2005-03-02,12.5,11.48277745486743
2005-03-03,12.93,11.650983715333387
2005-03-04,11.94,10.578772352224908
2005-03-07,12.26,10.859866364903002
2005-03-08,12.4,11.308824197215106
2005-03-09,12.7,12.086990714113837
2005-03-10,12.49,11.346884088739799
2005-03-11,12.8,11.82173618173084
2005-03-14,12.39,13.049259207148639
2005-03-15,13.15,14.192559538824408
2005-03-16,13.49,14.42016337580303
2005-03-17,13.29,10.901468128571901
2005-03-18,13.14,11.706389822811843
2005-03-21,13.61,12.05568876806388
2005-03-22,14.27,12.617104666801943
2005-03-23,14.06,12.387811969451121
2005-03-24,13.42,11.606087060347702
2005-03-29,14.49,12.928831905922861
2005-03-30,13.64,12.101194595716075
2005-03-31,14.02,12.52192323559883
2005-04-01,14.09,12.441147503168935
2005-04-04,14.11,12.731706935017991
2005-04-05,13.68,12.091130830977852
2005-04-06,13.15,11.685987869877943
2005-04-07,12.33,11.302478093166178
2005-04-08,12.62,11.743893365299481
2005-04-11,11.98,13.051102228069619
2005-04-12,11.3,12.827923390330728
2005-04-13,13.31,13.661036676512591
2005-04-14,14.53,13.601254085893707
2005-04-15,17.74,15.317669248048304
2005-04-18,16.56,14.751262016861876
2005-04-19,14.96,13.3585247635465
2005-04-20,16.92,15.113022951158886
2005-04-21,14.41,12.848713264506518
2005-04-22,15.38,13.70762097143296
2005-04-25,14.62,12.89940723846295
2005-04-26,14.91,13.30198499889187
2005-04-27,14.87,13.094835435412863
2005-04-28,16.86,15.175543355424137
2005-04-29,15.31,13.633750153536809
2005-05-03,14.53,12.895946622679341
2005-05-04,13.85,12.106360542743746
2005-05-05,13.98,12.341793503711754
2005-05-06,14.05,12.209875938770336
2005-05-09,13.75,12.19015237138605
2005-05-10,14.91,13.712103987226797
2005-05-11,14.45,12.594251881598789
2005-05-12,16.12,14.853574905733852
2005-05-13,16.32,14.265107300572488
2005-05-16,15.68,14.497301237055234
2005-05-17,14.57,14.706518048632317
2005-05-18,13.63,14.471120548213214
2005-05-19,13.32,11.993813768880925
2005-05-20,13.14,11.334828903144857
2005-05-23,12.95,11.088549946149396
2005-05-24,12.69,10.846037713806867
2005-05-25,12.58,10.712382845414291
2005-05-26,12.24,10.539958875222535
2005-05-27,12.15,10.494767330009934
2005-05-31,13.29,11.401634070317256
2005-06-01,12.36,10.675494880771767
2005-06-02,11.84,10.657463153467825
2005-06-03,12.15,10.681159543805457
2005-06-06,12.28,11.020103544087139
2005-06-07,12.39,11.707381155051369
2005-06-08,12.7,11.931145651425554
2005-06-09,12.08,11.191259311130624
2005-06-10,11.96,10.778483472083318
2005-06-13,11.65,12.290830532875018
2005-06-14,11.79,12.940230806302694
2005-06-15,11.46,13.167928184859152
2005-06-16,11.15,13.90261963323578
2005-06-17,11.48,10.202439918341831
2005-06-20,11.47,10.295754002629288
2005-06-21,11.08,9.970207206402138
2005-06-22,11.05,9.870969282225316
2005-06-23,12.13,10.823644882294253
2005-06-24,12.18,10.863459019076304
2005-06-27,12.52,11.030299065769826
2005-06-28,11.58,10.262495203538077
2005-06-29,11.77,10.430646099881976
2005-06-30,12.04,10.59006914643665
2005-07-01,11.4,9.856102603381474
2005-07-05,11.68,11.005165259119911
2005-07-06,12.27,11.665155982567416
2005-07-07,12.49,11.943873024155659
2005-07-08,11.45,11.24799130660301
2005-07-11,11.28,12.71109636596696
2005-07-12,10.95,12.251973945364327
2005-07-13,10.84,12.817477696101648
2005-07-14,10.81,12.294898256000964
2005-07-15,10.33,9.697710974437857
2005-07-18,10.77,9.915612663156113
2005-07-19,10.45,9.541766275886394
2005-07-20,10.23,9.323100406896154
2005-07-21,10.97,9.923027199514063
2005-07-22,10.52,9.465427093268204
2005-07-25,11.1,9.808582985808417
2005-07-26,10.99,9.54243032588093
2005-07-27,10.36,9.090136233265863
2005-07-28,10.52,9.312968316309437
2005-07-29,11.57,10.168029093527311
2005-08-01,12.08,10.640383921965633
2005-08-02,11.75,10.22739724744005
2005-08-03,11.83,10.103779395477751
